Date,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
01-01-2014,33,46,40,657,1756
02-01-2014,35,50,43,657,1756
03-01-2014,36,45,41,657,1757
04-01-2014,32,41,37,658,1757
05-01-2014,24,38,31,658,1758
06-01-2014,22,39,31,658,1759
07-01-2014,28,45,37,658,1759
08-01-2014,30,41,36,659,1800
09-01-2014,29,42,36,659,1801
10-01-2014,30,47,39,659,1801
11-01-2014,32,47,40,659,1802
12-01-2014,30,47,39,659,1803
13-01-2014,29,42,36,659,1803
14-01-2014,31,47,39,659,1804
15-01-2014,35,51,43,659,1804
16-01-2014,35,55,45,700,1805
17-01-2014,42,57,50,700,1806
18-01-2014,38,54,46,700,1806
19-01-2014,37,51,44,700,1807
20-01-2014,36,53,45,659,1808
21-01-2014,40,55,48,659,1808
22-01-2014,31,44,38,659,1809
23-01-2014,31,46,39,659,1810
24-01-2014,39,54,47,659,1810
25-01-2014,41,62,52,659,1811
26-01-2014,42,58,50,659,1811
27-01-2014,38,51,45,659,1812
28-01-2014,29,39,34,658,1813
29-01-2014,30,36,33,658,1813
30-01-2014,28,39,34,658,1814
31-01-2014,33,42,38,658,1814
01-02-2014,35,50,43,657,1815
02-02-2014,37,49,43,657,1816
03-02-2014,36,50,43,657,1816
04-02-2014,36,55,46,656,1817
05-02-2014,38,53,46,656,1817
06-02-2014,39,49,44,655,1818
07-02-2014,39,52,46,655,1818
08-02-2014,37,52,45,655,1819
09-02-2014,34,57,46,654,1819
10-02-2014,36,54,45,654,1820
11-02-2014,34,52,43,653,1820
12-02-2014,35,52,44,653,1821
13-02-2014,35,49,42,652,1821
14-02-2014,36,48,42,652,1822
15-02-2014,38,55,47,651,1822
16-02-2014,36,46,41,651,1823
17-02-2014,36,43,40,650,1823
18-02-2014,37,45,41,649,1823
19-02-2014,35,46,41,649,1824
20-02-2014,33,47,40,648,1824
21-02-2014,34,48,41,647,1825
22-02-2014,34,48,41,647,1825
23-02-2014,33,48,41,646,1825
24-02-2014,33,50,42,646,1826
25-02-2014,33,47,40,645,1826
26-02-2014,36,50,43,644,1827
27-02-2014,36,55,46,643,1827
28-02-2014,36,57,47,643,1827
01-03-2014,41,55,48,642,1828
02-03-2014,31,45,38,641,1828
03-03-2014,31,42,37,640,1828
04-03-2014,34,43,39,640,1829
05-03-2014,33,46,40,639,1829
06-03-2014,35,46,41,638,1829
07-03-2014,34,54,44,637,1830
08-03-2014,34,43,39,637,1830
09-03-2014,36,47,42,636,1830
10-03-2014,32,47,40,635,1831
11-03-2014,31,49,40,634,1831
12-03-2014,29,50,40,633,1831
13-03-2014,33,55,44,632,1832
14-03-2014,36,51,44,632,1832
15-03-2014,32,48,40,631,1832
16-03-2014,31,49,40,630,1832
17-03-2014,36,53,45,629,1833
18-03-2014,35,53,44,628,1833
19-03-2014,35,53,44,627,1833
20-03-2014,33,48,41,626,1833
21-03-2014,30,48,39,626,1834
22-03-2014,30,43,37,625,1834
23-03-2014,32,45,39,624,1834
24-03-2014,31,51,41,623,1834
25-03-2014,34,53,44,622,1835
26-03-2014,35,55,45,621,1835
27-03-2014,31,46,39,620,1835
28-03-2014,29,43,36,620,1835
29-03-2014,32,39,36,619,1836
30-03-2014,32,41,37,618,1836
31-03-2014,31,42,37,617,1836
01-04-2014,34,45,40,616,1836
02-04-2014,33,52,43,615,1837
03-04-2014,36,51,44,614,1837
04-04-2014,31,50,41,614,1837
05-04-2014,31,51,41,613,1838
06-04-2014,35,49,42,612,1838
07-04-2014,35,49,42,611,1838
08-04-2014,35,52,44,610,1838
09-04-2014,36,53,45,610,1839
10-04-2014,35,55,45,609,1839
11-04-2014,37,56,47,608,1839
12-04-2014,36,52,44,607,1839
13-04-2014,32,49,41,606,1840
14-04-2014,31,50,41,606,1840
15-04-2014,36,53,45,605,1840
16-04-2014,40,59,50,604,1841
17-04-2014,42,58,50,603,1841
18-04-2014,43,60,52,602,1841
19-04-2014,43,60,52,602,1841
20-04-2014,41,57,49,601,1842
21-04-2014,40,54,47,600,1842
22-04-2014,38,58,48,600,1842
23-04-2014,41,58,50,559,1843
24-04-2014,41,59,50,558,1843
25-04-2014,43,59,51,558,1843
26-04-2014,45,62,54,557,1844
27-04-2014,42,53,48,556,1844
28-04-2014,40,53,47,556,1844
29-04-2014,39,53,46,555,1845
30-04-2014,37,50,44,554,1845
01-05-2014,36,53,45,554,1845
02-05-2014,38,51,45,553,1846
03-05-2014,36,55,46,553,1846
04-05-2014,36,55,46,552,1846
05-05-2014,40,54,47,552,1847
06-05-2014,40,58,49,551,1847
07-05-2014,42,60,51,550,1847
08-05-2014,42,61,52,550,1848
09-05-2014,44,59,52,550,1848
10-05-2014,42,56,49,549,1849
